Species,Family,Stage,Skill,VisualKind,Normal,Mega,Enemy
Addmander,addmander,1,Flame Formula,EquationFlame,covered,covered,covered
Sumdrake,addmander,2,Blaze Equation,EquationFlame,covered,covered,covered
Equadragon,addmander,3,Equalizer Blaze,EquationFlame,covered,covered,covered
Tenfin,tenfin,1,Splash Ten,MakeTenWave,covered,covered,covered
Decaqua,tenfin,2,Decimal Wave,MakeTenWave,covered,covered,covered
Tidalten,tenfin,3,Tidal Combo,MakeTenWave,covered,covered,covered
Shapling,shapling,1,Leaf Pattern,PatternLeaf,covered,covered,covered
Pattervine,shapling,2,Vine Sequence,PatternLeaf,covered,covered,covered
Geoflora,shapling,3,Bloom Symmetry,PatternLeaf,covered,covered,covered
Countipillar,countipillar,1,Count Crunch,CountCrunch,covered,covered,covered
Numberfly,countipillar,2,Number Wing,CountCrunch,covered,covered,covered
Doublit,doublit,1,Double Trouble,DoubleBoulder,covered,covered,covered
Duplirock,doublit,2,Double Boulder,DoubleBoulder,covered,covered,covered
Mirrowl,mirrowl,1,Mirror Pattern,SymmetryBeam,covered,covered,covered
Symmetrix,mirrowl,2,Symmetry Beam,SymmetryBeam,covered,covered,covered
Paircub,paircub,1,Matching Paws,MatchingPaws,covered,covered,covered
Matchbear,paircub,2,Equal Embrace,MatchingPaws,covered,covered,covered
Equilibear,paircub,3,Balance Roar,MatchingPaws,covered,covered,covered
Subunny,subunny,1,Take Away Hop,SubtractionDash,covered,covered,covered
Differhare,subunny,2,Difference Dash,SubtractionDash,covered,covered,covered
Minuelope,subunny,3,Minus Meteor,SubtractionDash,covered,covered,covered
Pebblit,pebblit,1,Tally Toss,TallyStone,covered,covered,covered
Stackstone,pebblit,2,Order Stack,TallyStone,covered,covered,covered
Tallytitan,pebblit,3,Tally Quake,TallyStone,covered,covered,covered
Prismouse,prismouse,1,Prism Turn,GeometryPrism,covered,covered,covered
Polygoncat,prismouse,2,Polygon Pounce,GeometryPrism,covered,covered,covered
Geometiger,prismouse,3,Geometry Ray,GeometryPrism,covered,covered,covered
